YEAR,STATE,REGION,RATE,DEATHS,URL
2016,AK,WEST,16.8,128,/nchs/pressroom/states/alaska/alaska.htm
2016,AL,SOUTH,16.2,756,/nchs/pressroom/states/alabama/alabama.htm
2016,AR,SOUTH,14,401,/nchs/pressroom/states/arkansas/arkansas.htm
2016,AZ,WEST,20.3,1382,/nchs/pressroom/states/arizona/arizona.htm
2016,CA,WEST,11.2,4654,/nchs/pressroom/states/california/california.htm
2016,CO,WEST,16.6,942,/nchs/pressroom/states/colorado/colorado.htm
2016,CT,NORTHEAST,27.4,971,/nchs/pressroom/states/connecticut/connecticut.htm
2016,DE,SOUTH,30.8,282,/nchs/pressroom/states/delaware/delaware.htm
2016,FL,SOUTH,23.7,4728,/nchs/pressroom/states/florida/florida.htm
2016,GA,SOUTH,13.3,1394,/nchs/pressroom/states/georgia/georgia.htm
2016,HI,WEST,12.8,191,/nchs/pressroom/states/hawaii/hawaii.htm
2016,IA,MIDWEST,10.6,314,/nchs/pressroom/states/iowa/iowa.htm
2016,ID,WEST,15.2,243,/nchs/pressroom/states/idaho/idaho.htm
2016,IL,MIDWEST,18.9,2411,/nchs/pressroom/states/illinois/illinois.htm
2016,IN,MIDWEST,24,1526,/nchs/pressroom/states/indiana/indiana.htm
2016,KS,MIDWEST,11.1,313,/nchs/pressroom/states/kansas/kansas.htm
2016,KY,SOUTH,33.5,1419,/nchs/pressroom/states/kentucky/kentucky.htm
2016,LA,SOUTH,21.8,996,/nchs/pressroom/states/louisiana/louisiana.htm
2016,MA,NORTHEAST,33,2227,/nchs/pressroom/states/massachusetts/massachusetts.htm
2016,MD,SOUTH,33.2,2044,/nchs/pressroom/states/maryland/maryland.htm
2016,ME,NORTHEAST,28.7,353,/nchs/pressroom/states/maine/maine.htm
2016,MI,MIDWEST,24.4,2347,/nchs/pressroom/states/michigan/michigan.htm
2016,MN,MIDWEST,12.5,672,/nchs/pressroom/states/minnesota/minnesota.htm
2016,MO,MIDWEST,23.6,1371,/nchs/pressroom/states/missouri/missouri.htm
2016,MS,SOUTH,12.1,352,/nchs/pressroom/states/mississippi/mississippi.htm
2016,MT,WEST,11.7,119,/nchs/pressroom/states/montana/montana.htm
2016,NC,SOUTH,19.7,1956,/nchs/pressroom/states/northcarolina/northcarolina.htm
2016,ND,MIDWEST,10.6,77,/nchs/pressroom/states/northdakota/northdakota.htm
2016,NE,MIDWEST,6.4,120,/nchs/pressroom/states/nebraska/nebraska.htm
2016,NH,NORTHEAST,39,481,/nchs/pressroom/states/newhampshire/newhampshire.htm
2016,NJ,NORTHEAST,23.2,2056,/nchs/pressroom/states/newjersey/newjersey.htm
2016,NM,WEST,25.2,500,/nchs/pressroom/states/newmexico/newmexico.htm
2016,NV,WEST,21.7,665,/nchs/pressroom/states/nevada/nevada.htm
2016,NY,NORTHEAST,18,3638,/nchs/pressroom/states/newyork/newyork.htm
2016,OH,MIDWEST,39.1,4329,/nchs/pressroom/states/ohio/ohio.htm
2016,OK,SOUTH,21.5,813,/nchs/pressroom/states/oklahoma/oklahoma.htm
2016,OR,WEST,11.9,506,/nchs/pressroom/states/oregon/oregon.htm
2016,PA,NORTHEAST,37.9,4627,/nchs/pressroom/states/pennsylvania/pennsylvania.htm
2016,RI,NORTHEAST,30.8,326,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
2016,SC,SOUTH,18.1,879,/nchs/pressroom/states/southcarolina/southcarolina.htm
2016,SD,MIDWEST,8.4,69,/nchs/pressroom/states/southdakota/southdakota.htm
2016,TN,SOUTH,24.5,1630,/nchs/pressroom/states/tenessee/tennessee.htm
2016,TX,SOUTH,10.1,2831,/nchs/pressroom/states/texas/texas.htm
2016,UT,WEST,22.4,635,/nchs/pressroom/states/utah/utah.htm
2016,VA,SOUTH,16.7,1405,/nchs/pressroom/states/virginia/virginia.htm
2016,VT,NORTHEAST,22.2,125,/nchs/pressroom/states/vermont/vermont.htm
2016,WA,WEST,14.5,1102,/nchs/pressroom/states/washington/washington.htm
2016,WI,MIDWEST,19.3,1074,/nchs/pressroom/states/wisconsin/wisconsin.htm
2016,WV,SOUTH,52,884,/nchs/pressroom/states/westvirginia/westvirginia.htm
2016,WY,WEST,17.6,99,/nchs/pressroom/states/wyoming/wyoming.htm
